file_name,hasYouAsAParty,hasBetweenYou,hasBetweenYouAnd
Google_Construction_Agreement_C.txt,F,F,F
2Think1 Solutions Inc_eula.txt,T,T,F
ABBYY_eula.txt,T,T,T
Aeria Games & Entertainment Inc_eula.txt,T,T,T
AllCursors_eula.txt,T,T,T
ALM Works Ltd_eula.txt,T,T,F
AnyChart_eula.txt,T,T,T
AOL Inc_eula.txt,T,T,T
app square OG_eula.txt,T,T,T
APPEARTOME LIMITED_eula.txt,T,T,F
Atlassian_eula.txt,T,T,T
Avanquest Software SA_eula.txt,T,T,T
Bitdefender_eula.txt,T,T,T
Blizzard Entertainment Inc_eula.txt,T,F,F
BTC_eula.txt,T,T,T
Caphyon_eula.txt,T,T,F
CareerBuilder_eula.txt,T,T,T
Caristix_eula.txt,T,T,T
ChemAxon Ltd_eula.txt,T,T,F
Cloudfind Limited_eula.txt,T,T,T
Concurrent Inc_eula.txt,T,T,T
ConverterLite_eula.txt,T,T,T
Corel Corporation_eula.txt,T,T,T
Crawler LLC_eula.txt,T,T,T
Creative Edge Software_eula.txt,T,T,T
CupoNotifier_eula.txt,T,T,F
Cute Editor for ASP_eula.txt,T,T,T
Dan Chun Inc_eula.txt,T,T,T
DAZ Productions Inc_eula.txt,F,F,F
DealerScience_eula.txt,F,F,F
Dealsplus Toolbar_eula.txt,T,T,T
DeNA Co Ltd_eula.txt,T,T,T
Diabetes In Control Inc_eula.txt,T,T,T
EVE Online_eula.txt,T,T,T
EverythingMe_eula.txt,T,T,T
Fever_eula.txt,T,T,T
FusePump_eula.txt,T,F,F
GENERAC POWER SYSTEMS INC_eula.txt,T,F,F
Ginger Software_eula.txt,T,T,T
Gretech Corp_eula.txt,T,T,F
Halifax Web Hosting_eula.txt,T,T,T
Healthy Websites Ltd_eula.txt,T,T,F
i-observe_eula.txt,T,T,F
iLivid_eula.txt,T,T,T
Inbox Storage_eula.txt,T,T,T
Jijoty_eula.txt,T,T,T
Kerbal Space Program_eula.txt,T,T,T
KoodibooK Limited_eula.txt,T,T,T
Koyote-Lab Inc_eula.txt,T,T,T
KryptonWare Solutions LLC_eula.txt,T,T,T
LabelINSIGHT_eula.txt,T,T,T
Lamantine Software_eula,T,T,T
Lexi-Comp Inc_eula.txt,T,F,F
Lexia Learning_eula.txt,T,T,F
Lurie & Co_eula.txt,T,T,T
MasterCard_eula.txt,T,T,T
Maxthon_eula.txt,T,T,F
McAfee WaveSecure_eula.txt,T,T,F
Moviestorm_eula.txt,T,T,T
MSH Software_eula.txt,T,T,T
MYWEBSEARCH TOOLBAR_eula.txt,T,T,T
National Geographic Maps_eula.txt,F,F,F
Nickelodeon_eula.txt,T,T,T
North American Rescue LLC_eula.txt,T,T,T
Octoshape_eula.txt,T,T,T
ooVoo LLC_eula.txt,T,T,T
Opera Software ASA_eula.txt,F,F,F
Oxygen XML Editor_eula.txt,T,F,F
ParkMe Inc_eula.txt,T,T,T
Paypal_eula.txt,T,T,T
Play Magnus AS_eula.txt,T,T,T
Quick Heal_eula.txt,T,F,F
Rakuten Loyalty_eula.txt,T,T,T
Rockstar Games_eula.txt,T,T,T
RPG MAKER VX ACE_eula.txt,T,T,F
SALIENT-EYE SOFTWARE_eula.txt,T,F,F
Santa Clarita Web & IT_eula.txt,T,F,F
ShowPitch LLC_eula.txt,T,T,T
SignTech_eula.txt,T,T,F
Site Store Pro_eula.txt,F,F,F
SlipShift GmbH_eula.txt,F,F,F
SmartDog_eula.txt,T,T,F
Soft112 Doc Convertor_eula.txt,T,T,F
Speeding Software Inc_eula.txt,T,T,T
STUDIOss_eula.txt,F,F,F
Subterranean Games Ltd_eula.txt,T,T,T
Take-Two Interactive Software Inc_eula.txt,T,T,T
Theatrics.com LLC_eula.txt,T,F,F
Thobson_eula.txt,T,T,F
To Safe Saver_eula.txt,T,T,T
Trillian_eula.txt,T,T,T
Trion Worlds Inc_eula.txt,T,T,T
Unity Technologies_eula.txt,T,T,T
viber_eula.txt,T,T,T
WEBTYPE LLC_eula.txt,T,T,T
WeWantToKnow AS_eula.txt,F,F,F
ZulaGames_eula.txt,T,T,T
BIZCOM_Master Services Agreement.txt,F,F,F
CenturyLink Inc_Master Services Agreement.txt,F,F,F
ChaiONE_Master Services Agreement.txt,F,F,F
Clarizen_Master Services Agreement.txt,T,T,T
Dell_Master Services Agreement.txt,F,F,F
FindLaw_Master Services Agreement.txt,F,F,F
Gippy's Internet Solutions LLC_Master Services Agreement.txt,F,F,F
IndiaLinks Web Hosting Pvt Ltd_Master Services Agreement.txt,T,T,T
MLMSAssistant_Master Services Agreement.txt,T,T,F
New Leaders_Master Services Agreement.txt,F,F,F
PEER 1 Hosting_Master Services Agreement.txt,F,T,T
