group,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
1,CONSTRUCTION,_,NOUN,NN,_,13,nsubjpass,_,_,F
1,AGREEMENT,_,ADP,IN,_,1,prep,_,_,F
1,THIS,_,DET,DT,_,5,det,_,_,F
1,CONSTRUCTION,_,NOUN,NNP,_,5,nn,_,_,F
1,AGREEMENT,_,NOUN,NNP,_,2,pobj,_,_,F
1,-LRB-,_,.,-LRB-,_,9,punct,_,_,F
1,this,_,DET,DT,_,9,det,_,_,F
1,``,_,.,``,_,9,punct,_,_,F
1,Agreement,_,NOUN,NN,_,5,appos,_,_,F
1,'',_,.,'',_,9,punct,_,_,F
1,-RRB-,_,.,-RRB-,_,9,punct,_,_,F
1,is,_,VERB,VBZ,_,13,auxpass,_,_,F
1,made,_,VERB,VBN,_,0,ROOT,_,_,F
1,as,_,ADP,IN,_,13,prep,_,_,F
1,of,_,ADP,IN,_,14,pcomp,_,_,F
1,January,_,NOUN,NNP,_,15,pobj,_,_,F
1,",",_,.,",",_,16,punct,_,_,F
1,3,_,NUM,CD,_,16,num,_,_,F
1,",",_,.,",",_,16,punct,_,_,F
1,2014,_,NUM,CD,_,16,num,_,_,F
1,",",_,.,",",_,14,punct,_,_,F
1,by,_,ADP,IN,_,14,conj,_,_,F
1,and,_,CONJ,CC,_,14,cc,_,_,F
1,between,_,ADP,IN,_,14,conj,_,_,F
1,GOOGLE,_,NOUN,NNP,_,26,nn,_,_,T
1,INC.,_,NOUN,NNP,_,24,pobj,_,_,T
1,",",_,.,",",_,26,punct,_,_,F
1,a,_,DET,DT,_,30,det,_,_,F
1,Delaware,_,NOUN,NNP,_,30,nn,_,_,F
1,corporation,_,NOUN,NN,_,26,appos,_,_,F
1,-LRB-,_,.,-LRB-,_,33,punct,_,_,F
1,``,_,.,``,_,33,punct,_,_,F
1,Owner,_,NOUN,NN,_,30,appos,_,_,F
1,'',_,.,'',_,33,punct,_,_,F
1,-RRB-,_,.,-RRB-,_,33,punct,_,_,F
1,",",_,.,",",_,26,punct,_,_,F
1,and,_,CONJ,CC,_,26,cc,_,_,F
1,S.G.,_,NOUN,NNP,_,39,nn,_,_,T
1,Cunningham,_,NOUN,NNP,_,43,nn,_,_,T
1,-LRB-,_,.,-LRB-,_,43,punct,_,_,F
1,Kitchener,_,NOUN,NNP,_,43,nn,_,_,F
1,-RRB-,_,.,-RRB-,_,43,punct,_,_,F
1,Limited,_,NOUN,NNP,_,26,conj,_,_,F
1,",",_,.,",",_,43,punct,_,_,F
1,an,_,DET,DT,_,48,det,_,_,F
1,Ontario,_,NOUN,NNP,_,48,nn,_,_,F
1,Canada,_,NOUN,NNP,_,48,nn,_,_,F
1,corporation,_,NOUN,NN,_,43,appos,_,_,F
1,-LRB-,_,.,-LRB-,_,51,punct,_,_,F
1,``,_,.,``,_,51,punct,_,_,F
1,Contractor,_,NOUN,NNP,_,48,appos,_,_,F
1,'',_,.,'',_,51,punct,_,_,F
1,-RRB-,_,.,-RRB-,_,51,punct,_,_,F
1,",",_,.,",",_,13,punct,_,_,F
1,with,_,ADP,IN,_,13,prep,_,_,F
1,respect,_,NOUN,NN,_,55,pobj,_,_,F
1,to,_,ADP,IN,_,56,prep,_,_,F
1,the,_,DET,DT,_,64,det,_,_,F
1,demolition,_,NOUN,NN,_,64,nn,_,_,F
1,",",_,.,",",_,59,punct,_,_,F
1,preconstruction,_,NOUN,NN,_,59,conj,_,_,F
1,and,_,CONJ,CC,_,59,cc,_,_,F
1,construction,_,NOUN,NN,_,59,conj,_,_,F
1,services,_,NOUN,NNS,_,57,pobj,_,_,F
1,in,_,ADP,IN,_,56,prep,_,_,F
1,connection,_,NOUN,NN,_,65,pobj,_,_,F
1,with,_,ADP,IN,_,66,prep,_,_,F
1,",",_,.,",",_,56,punct,_,_,F
1,and,_,CONJ,CC,_,56,cc,_,_,F
1,the,_,DET,DT,_,71,det,_,_,F
1,construction,_,NOUN,NN,_,56,conj,_,_,F
1,by,_,ADP,IN,_,71,prep,_,_,F
1,Contractor,_,NOUN,NNP,_,72,pobj,_,_,F
1,of,_,ADP,IN,_,73,prep,_,_,F
1,",",_,.,",",_,74,punct,_,_,F
1,office,_,NOUN,NN,_,74,conj,_,_,F
1,and,_,CONJ,CC,_,74,cc,_,_,F
1,other,_,ADJ,JJ,_,79,amod,_,_,F
1,areas_,_,NOUN,NN,_,74,conj,_,_,F
1,to,_,PRT,TO,_,82,aux,_,_,F
1,be,_,VERB,VB,_,82,auxpass,_,_,F
1,located,_,VERB,VBN,_,71,infmod,_,_,F
1,at,_,ADP,IN,_,82,prep,_,_,F
1,51,_,NUM,CD,_,88,num,_,_,F
1,Breithaupt,_,NOUN,NNP,_,88,nn,_,_,F
1,Street,_,NOUN,NNP,_,88,nn,_,_,F
1,Kitchener,_,NOUN,NNP,_,88,nn,_,_,F
1,Ontario,_,NOUN,NNP,_,83,pobj,_,_,F
1,and,_,CONJ,CC,_,88,cc,_,_,F
1,commonly,_,ADV,RB,_,91,advmod,_,_,F
1,known,_,VERB,VBN,_,88,conj,_,_,F
1,as,_,ADP,IN,_,91,prep,_,_,F
1,the,_,DET,DT,_,95,det,_,_,F
1,Maxwell,_,NOUN,NNP,_,95,nn,_,_,F
1,Project,_,NOUN,NNP,_,92,pobj,_,_,F
1,-LRB-,_,.,-LRB-,_,99,punct,_,_,F
1,the,_,DET,DT,_,99,det,_,_,F
1,``,_,.,``,_,99,punct,_,_,F
1,Project,_,NOUN,NNP,_,95,appos,_,_,F
1,'',_,.,'',_,99,punct,_,_,F
1,-RRB-,_,.,-RRB-,_,99,punct,_,_,F
1,.,_,.,.,_,13,punct,_,_,F
2,COM,_,X,UH,_,4,nn,_,_,F
2,'',_,.,'',_,4,punct,_,_,F
2,IMPORTANT,_,NOUN,NNP,_,4,nn,_,_,F
2,PLEASE,_,NOUN,NNP,_,5,nsubj,_,_,F
2,READ,_,VERB,VB,_,0,ROOT,_,_,F
2,THE,_,DET,DT,_,7,det,_,_,F
2,TERMS,_,NOUN,NNS,_,5,dobj,_,_,F
2,AND,_,CONJ,CC,_,7,cc,_,_,F
2,CONDITIONS,_,NOUN,NNS,_,7,conj,_,_,F
2,OF,_,ADP,IN,_,7,prep,_,_,F
2,THIS,_,DET,DT,_,14,det,_,_,F
2,LICENSE,_,NOUN,NNP,_,14,nn,_,_,F
2,AGREEMENT,_,ADV,RBS,_,14,amod,_,_,F
2,CAREFULLY,_,ADV,RB,_,10,pobj,_,_,F
2,BEFORE,_,ADP,IN,_,5,prep,_,_,F
2,CONTINUING,_,VERB,VBG,_,15,pcomp,_,_,F
2,WITH,_,ADP,IN,_,16,prep,_,_,F
2,ANY,_,DET,DT,_,21,det,_,_,F
2,PRODUCT,_,NOUN,NNP,_,21,nn,_,_,F
2,AND/OR,_,NOUN,NNP,_,21,nn,_,_,F
2,SERVICE,_,NOUN,NN,_,17,pobj,_,_,F
2,:,_,.,:,_,21,punct,_,_,F
2,2THINK1,_,NUM,CD,_,24,num,_,_,F
2,SOLUTIONS,_,NOUN,NNS,_,38,nsubj,_,_,F
2,INC,_,NOUN,NNP,_,29,poss,_,_,F
2,'s,_,PRT,POS,_,25,possessive,_,_,F
2,End-User,_,NOUN,NNP,_,29,nn,_,_,F
2,License,_,NOUN,NNP,_,29,nn,_,_,F
2,Agreement,_,NOUN,NN,_,24,dep,_,_,F
2,-LRB-,_,.,-LRB-,_,32,punct,_,_,F
2,``,_,.,``,_,32,punct,_,_,F
2,EULA,_,NOUN,NNP,_,29,appos,_,_,F
2,'',_,.,'',_,32,punct,_,_,F
2,-RRB-,_,.,-RRB-,_,32,punct,_,_,F
2,is,_,VERB,VBZ,_,38,cop,_,_,F
2,a,_,DET,DT,_,38,det,_,_,F
2,legal,_,ADJ,JJ,_,38,amod,_,_,F
2,agreement,_,NOUN,NN,_,21,dep,_,_,F
2,between,_,ADP,IN,_,38,prep,_,_,F
2,you,_,PRON,PRP,_,39,pobj,_,_,T
2,-LRB-,_,.,-LRB-,_,38,punct,_,_,F
2,either,_,CONJ,CC,_,44,preconj,_,_,F
2,an,_,DET,DT,_,44,det,_,_,F
2,individual,_,NOUN,NN,_,38,dep,_,_,F
2,or,_,CONJ,CC,_,44,cc,_,_,F
2,a,_,DET,DT,_,48,det,_,_,F
2,single,_,ADJ,JJ,_,48,amod,_,_,F
2,entity,_,NOUN,NN,_,44,conj,_,_,F
2,-RRB-,_,.,-RRB-,_,38,punct,_,_,F
2,and,_,CONJ,CC,_,38,cc,_,_,F
2,2THINK1,_,NUM,CD,_,53,num,_,_,T
2,SOLUTIONS,_,NOUN,NNP,_,53,nn,_,_,T
2,INC,_,NOUN,NNP,_,70,nsubj,_,_,T
2,for,_,ADP,IN,_,53,prep,_,_,F
2,the,_,DET,DT,_,65,det,_,_,F
2,2THINK1,_,NUM,CD,_,65,num,_,_,F
2,SOLUTIONS,_,NOUN,NNPS,_,60,nn,_,_,F
2,INC,_,NOUN,NNP,_,60,nn,_,_,F
2,SOFTWARE,_,NOUN,NNP,_,60,nn,_,_,F
2,PRODUCT,_,NOUN,NNP,_,65,nn,_,_,F
2,-LRB-,_,.,-LRB-,_,65,punct,_,_,F
2,S,_,NOUN,NNP,_,65,nn,_,_,F
2,-RRB-,_,.,-RRB-,_,65,punct,_,_,F
2,AND/OR,_,NOUN,NNP,_,65,nn,_,_,F
2,WEBSITES,_,NOUN,NNS,_,54,pobj,_,_,F
2,identified,_,VERB,VBN,_,65,partmod,_,_,F
2,above,_,ADP,IN,_,66,prep,_,_,F
2,which,_,DET,WDT,_,67,pobj,_,_,F
2,may,_,VERB,MD,_,70,aux,_,_,F
2,include,_,VERB,VB,_,38,conj,_,_,F
2,associated,_,VERB,VBN,_,73,amod,_,_,F
